Nama_Ibu,Alamat,Kecamatan,Desa,Nomer_NIK,TB_Ibu,BB_Ibu,IMT,Usia_ibu,Pendidikan_Ibu,Pekerjaan_ibu,Pendidikan_AYAH,Pekerjaan_Ayah,Jumlah_PendapatanKeluarga,NominalGaji,Status_Pernikahan,UsiaPertamaMenikahIbu,Kepemilikan_KK,JumlahAnak,Nama_BADUTA,UsiaBaduta,JenisKelamin,PersalinanOleh,BB_Lahir,PanjangLahir,Riwayat_Imunisasi,RiwayatDiare_2mgguTerakhir,RiwayatISPA_2mgguTerakhir,Punya_AkteLahir,BB_Baduta,PB_Baduta,StatusGizi_Baduta,Baduta_Dapat_ASI_Ekslusif,Baduta_DapatMPASI,Baduta_DapatPMT,PMT_DihabiskanAtauTidak,AlasanMendapat_PMT,BadutaDitimbang_Minimal8x,Baduta_DapatZinc_saatDiare,PernahCacingan,PernahMinum_ObatCacing,Bumil_DapatFolat_Fe,Ibu_DapatKonseling_PromosiASI,Ibu_DapatKonseling_PromosiMPASI,Punya_Sal_AirBersih,Punya_Jamban,GunainJamban_BAB,Ada_SepticTank,IBU_CuciTanganSabun_SBLMMakan,IBU_CuciTanganSabun_SetelahBAB,Anak_CuciTanganSabun_SebelumMakan,Anak_CuciTanganSabun_SetelahBAB,Anak_GunakanAlasKakiSaatMAin,Ibu_DapatBantuanBeras,Kel_KonsumsiSayuran,Kel_KonsumsiBuahBuahan,AdaYAnKes_diRumahTinggal,CaraPergi_KePuskesmas,JarakRumahKeYANKES,IBU_PakaiKB,JenisKB,Kepemilikan_BPJS,KewajibanMendidikAnak,YangJagaAnak_SetiapHari,PAUD_SekitarRumah,IbuMenyekolahkanAnak_KePAUD,Ibu_DapatInformasi_Gizi,Status_Stunting
Stephanus Champerlen,713 Welch Street,Illinois,United States,3.60E+15,157,50,2,32,1,1,1,1,1,100000,1,18,1,4,Stephanus Champerlen,10,2,1,3000,45,1,2,2,2,6.8,63,3,1,1,1,1,Kurang makan,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,100 meter,1,Pil KB,1,1,1,1,2,1,Stunting
Andrei Scupham,1275 Melrose Park,Tennessee,United States,3.60E+15,146,48,2,37,1,1,1,1,1,1000000,1,18,1,2,Andrei Scupham,11,2,2,#NULL!,#NULL!,2,2,1,2,6,65,2,1,1,1,1,Program,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,800 meter,1,Suntik 3 ,2,1,1,1,1,2,Stunting
Olag Dumini,15 Mariners Cove Point,Texas,United States,3.60E+15,154,71,3,35,2,1,1,1,1,600000,1,20,1,3,Olag Dumini,13,2,1,3000,#NULL!,1,2,1,2,8,61,4,1,1,1,1,Program,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,100 meter,1,Suntik 1 ,2,1,1,1,2,2,Stunting
Efren Brevitt,64 Farragut Trail,Florida,United States,3.60E+15,159,86,3,29,2,1,1,1,1,2000000,1,18,1,2,Efren Brevitt,24,2,1,2600,#NULL!,1,2,1,1,8.5,72.2,3,1,1,1,2,Program,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,500 meter,1,Pil KB,1,1,1,1,1,1,Stunting
Dunc Balls,17 Thackeray Trail,Texas,United States,3.60E+15,153,71,3,33,1,1,2,1,1,500000,1,31,2,2,Dunc Balls,3,1,1,2800,#NULL!,1,2,2,2,7,55,2,1,2,1,1,Program,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,300 meter,1,Suntik 3 ,2,1,1,1,1,2,Stunting
Jojo Rochford,72 American Parkway,Massachusetts,United States,3.60E+15,151,55,3,32,1,1,1,1,1,600000,1,18,1,5,Jojo Rochford,4,2,1,3100,48,1,2,2,2,5,51,3,1,1,1,1,Program,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,300 meter,1,Suntik 3 ,1,1,1,1,2,1,Stunting
Myles Mosedall,5652 Valley Edge Way,New York,United States,3.60E+15,142,60,3,39,1,1,1,1,1,1000000,1,10,1,3,Myles Mosedall,11,2,1,2600,49,1,2,1,1,8,78,2,1,1,1,2,Program,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,1,Stunting
Leela Turfrey,3 Stang Street,Pennsylvania,United States,3.60E+15,157,42,1,19,2,1,1,1,1,500000,1,16,1,1,Leela Turfrey,11,2,1,3300,#NULL!,1,2,1,2,6.3,68,1,1,1,1,1,Program,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,300 meter,1,Pil KB,1,1,1,1,2,2,Stunting
Georgeta Stearn,9 Schlimgen Avenue,Texas,United States,3.60E+15,144,48,2,26,0,1,0,1,1,300000,1,19,1,2,Georgeta Stearn,12,2,2,#NULL!,#NULL!,2,1,1,1,7,69,2,1,1,1,2,Program,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,100 meter,1,Suntik 3 ,1,1,1,1,2,2,Stunting
Kermie Jenman,54010 Delladonna Avenue,District of Columbia,United States,3.60E+15,139,39,2,35,1,1,2,1,1,1500000,1,15,1,3,Kermie Jenman,13,1,1,3600,50,1,1,1,2,8,71,1,1,1,1,1,Program,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,100 meter,1,Suntik 1 ,1,1,1,1,2,2,Stunting
